Mot,Thème,Translation,Synonym,Antonym,Definition (B1 Level),Difficulty Level,example sentence (facile),example sentence (moyen) B1 ,example sentence (advanced) 
Regular,Professional Skills\Routine,Régulier,Consistent,Irregular,"Regular means arranged in or constituting a constant or definite pattern, especially with the same space between individual instances.",B1,He is a regular customer at the local coffee shop.,She follows a regular exercise routine to stay fit.,"All participants must register for the conference in advance, providing necessary details to ensure a smooth and organized event."
Regularly,Professional Skills\Routine,Régulièrement,Consistently,Irregularly,Regularly means at regular intervals; habitually.,B1,The team meets regularly to discuss project updates.,The team meets regularly to discuss project progress.,"The online registration process for the webinar was streamlined to ensure a seamless user experience, resulting in a record number of participants."
Regulate,Business\Legal,Réglementer,Control,Deregulate,To regulate means to control or maintain the rate or speed of (a machine or process) so that it operates properly.,B1,The government introduced new laws to regulate the financial industry.,The government aims to regulate the industry to ensure fairness.,The executive team expressed regret over the decision to lay off employees but emphasized that it was a necessary step to ensure the company’s financial stability and future growth.
Rehearse,Professional Skills\Presentation Skills,Répéter,Practice,Perform,"To rehearse means to practice (a play, piece of music, or other work) for later public performance.",B1,The team needs to rehearse the presentation before the client meeting.,The actors will rehearse their lines before the performance.,"Regular audits and compliance checks are conducted to ensure that all operations adhere to industry standards and regulatory requirements, thereby minimizing risks."
Reject,Business\Legal,Rejeter,Refuse,Accept,"To reject means to dismiss as inadequate, inappropriate, or not to one's taste.",B1,The committee decided to reject the proposal due to budget constraints.,The committee decided to reject the proposal.,"The management team meets regularly to review strategic initiatives, assess performance metrics, and make data-driven decisions to steer the company towards its objectives."
reject ,Business\Legal,rejeter,proceed,accept,"To reject means to dismiss as inadequate, inappropriate, or not to one's taste.",B1,The manager may reject the application if it does not meet the criteria.,She will reject any suggestions that don't meet the requirements.,"In response to new industry regulations, the company implemented stringent policies and procedures to ensure full compliance and avoid potential legal ramifications."
Relax,Practical and everyday life\Well-being,Se détendre,Unwind,Stress,To relax means to make or become less tense or anxious.,B1,It’s important to take some time to relax after a busy workweek.,It’s important to relax after a long day at work.,"Before the annual general meeting, the CEO and key executives took time to rehearse their presentations and speeches, ensuring they could effectively communicate the company’s achievements and future plans."
Relaxation,Practical and everyday life\Well-being,Détente,Leisure,Stress,Relaxation is the state of being free from tension and anxiety.,B1,The company offers a relaxation area for employees to unwind during breaks.,Yoga provides relaxation and stress relief.,"The proposal to diversify into an unrelated industry was ultimately rejected by the board, who felt that it strayed too far from the company’s core competencies and strategic vision."
Release,Business\Marketing/Fashion,Lancer / Publier,Launch,Withhold,To release means to make something available or public.,B1,The company will release its new product line next month.,The company plans to release the new software next month.,"The quality control team had to reject a batch of products due to defects, ensuring that only items meeting the highest standards are distributed."
Release,Business\Legal,Libérer,Free,Capture,To release means to allow or enable to escape from confinement; set free.,B1,The release of the annual report was delayed by a week.,The movie will be released in theaters next weekend.,"After successfully meeting the quarterly targets, the team took a much-needed break to relax and recharge, knowing that their hard work had paid off and set the stage for future achievements."
Relevant,Professional Skills\Story Telling,Pertinent,Related,Irrelevant,Relevant means closely connected or appropriate to what is being done or considered.,B1,The information provided in the report is highly relevant to our current project.,The information you provided is relevant to our research.,"The company's new employee wellness program emphasizes relaxation techniques such as yoga and meditation, aiming to reduce stress and enhance overall productivity."
Reliable,Business\Legal,Fiable,Trustworthy,Unreliable,Reliable refers to something or someone that can be trusted or depended upon.,B1,"The new software is fast and reliable, making it ideal for business use.",We need a reliable supplier for our raw materials.,The highly anticipated release of the new smartphone generated significant buzz among tech enthusiasts and consumers alike.
Remain,Business\HR,Rester,Stay,Leave,"To remain means to continue to exist, especially after other similar or related people or things have ceased to do so.",B1,"Despite the challenges, the company remains committed to its mission.",The terms of the agreement will remain unchanged.,"The anticipated release of the innovative software update was met with excitement in the tech community, as it promised to introduce groundbreaking features and improve user experience significantly."
remain,Business\HR,rester,switch,depart,"To remain means to continue to exist, especially after other similar people or things have ceased to do so.",B1,The final decision will remain confidential until it is announced publicly.,She will remain in charge of the project until it's completed.,"Staying relevant in the fast-paced tech industry requires continuous innovation, strategic thinking, and an unwavering commitment to understanding and anticipating market trends."
Remarkable,Professional Skills\Story Telling,Remarquable,Outstanding,Ordinary,Remarkable means worthy of attention; striking.,B1,The CEO’s remarkable leadership has been a key factor in the company’s success.,His performance in the play was truly remarkable.,The company's track record of reliable performance and on-time delivery solidified its reputation as a trusted partner among suppliers and customers alike
Remind,Professional Skills\Customer Relationship Building,Rappeler,Recall,Forget,To remind means to cause (someone) to remember something.,B1,Please remind me to send the report by the end of the day.,Please remind me to call the client tomorrow.,"Despite the turbulent market conditions, the company managed to remain profitable, thanks to its diversified portfolio and prudent financial management."
Reminder,Professional Skills\Customer Relationship Building,Rappel,Recall,Forgetfulness,A reminder is a thing that causes someone to remember something.,B1,The email served as a reminder of the upcoming deadline.,I set a reminder for our meeting next week.,"In light of the recent economic downturn, the company must remain vigilant and adaptable to sustain its market position and operational efficiency."
Remittance,Business\Finance,Envoi,Payment,Non-payment,"Remittance is a sum of money sent, especially by mail, in payment for goods or services or as a gift.",B1,"The client’s remittance was received on time, and the project was approved.",The remittance was sent to cover the invoice.,"The remarkable growth in the company’s market share can be attributed to its strategic acquisitions, innovative product development, and effective marketing campaigns."
Remove,Business\Supply Chain,Enlever,Take away,Add,To remove means to take away from a place or position.,B1,Please remove all personal items from your desk before the end of the day.,You need to remove the old files before adding new ones.,"The monthly newsletter serves to remind employees of important upcoming events, deadlines, and company announcements, ensuring everyone stays informed and engaged."
Remuneration,Business\Finance,Rémunération,Payment,Non-payment,Remuneration is money paid for work or a service.,B1,The remuneration package includes a competitive salary and benefits.,The remuneration package includes salary and benefits.,"An automated reminder system was implemented to ensure that clients receive timely notifications about upcoming appointments, reducing no-show rates and improving service efficiency."
Renovate,Business\Real Estate,Rénover,Restore,Neglect,"To renovate means to restore (something old, especially a building) to a good state of repair.",B1,The company plans to renovate its headquarters to create a more modern workspace.,They plan to renovate the office to improve its appearance.,"The timely remittance of international payments was facilitated by the company’s adoption of a secure and efficient global payment platform, ensuring smooth financial transactions across borders."
Renovation,Business\Real Estate,Rénovation,Restoration,Neglect,Renovation is the action of renovating a building.,B1,The renovation of the office building is expected to take six months.,The renovation of the building will start next month.,"To improve the user experience, the development team decided to remove several outdated features from the application, streamlining the interface and enhancing functionality."
Rent,Business\Real Estate,Louer,Hire,Own,Rent is a payment made for the use of something.,B1,The company decided to rent office space in the downtown area.,They decided to rent an apartment closer to work.,"The company’s competitive remuneration package, which includes performance bonuses and comprehensive benefits, has been instrumental in attracting and retaining top talent in the industry."
Repair,Business\Supply Chain,Réparer,Fix,Break,To repair means to fix or mend (a thing suffering from damage or a fault).,B1,The technician was called in to repair the faulty equipment.,The technician will repair the broken equipment.,"The decision to renovate the corporate headquarters was driven by the need to create a more modern, collaborative, and energy-efficient workspace that aligns with the company’s values and vision."
Repayment,Business\Finance,Remboursement,Reimbursement,Debt,"Repayment is the action of repaying a loan, debt, or favor.",B1,The loan agreement includes a flexible repayment schedule.,The loan repayment is due at the end of the month.,"The extensive renovation project, which included upgrading infrastructure, enhancing office layouts, and incorporating green building practices, was completed ahead of schedule and within budget."
Repetitive,Professional Skills\Routine,Répétitif,Monotonous,Varied,"Repetitive means containing or characterized by repetition, especially when unnecessary or tiresome.",B1,"The task was repetitive, but necessary for quality control.",The task became repetitive and monotonous.,The decision to rent additional office space in the downtown area was strategically made to accommodate the company’s rapid growth and to be closer to key clients and partners.
Replace,Business\Supply Chain,Remplacer,Substitute,Retain,To replace means to take the place of.,B1,The company plans to replace the outdated computers with new ones.,We need to replace the old printer with a new one.,"The facilities management team swiftly arranged for the repair of the damaged roof, ensuring that the office environment remained safe and comfortable for all employees."
Replacement,Business\Supply Chain,Remplacement,Substitute,Original,Replacement is the action or process of replacing someone or something.,B1,The replacement parts for the machinery were delivered yesterday.,The replacement part will arrive within a week.,"The carefully structured repayment plan, which includes a combination of fixed and variable interest rates, was designed to provide the company with the flexibility needed to manage its cash flow effectively while meeting its financial obligations."
Report,Business\Marketing,Rapport,Account,Concealment,"A report is an account given of a particular matter, especially in the form of an official document, after thorough investigation or consideration by an appointed person or body.",B1,The manager asked for a detailed report on the project’s progress.,The report on sales performance was delivered to the board.,"In an effort to minimize the time spent on repetitive tasks, the company invested in advanced automation software, which has significantly increased operational efficiency and allowed employees to focus on more strategic initiatives."
reported,Business\Media,signalé,documented,unreported,Reported means made known or brought to someone's attention.,B,It was reported that the company’s profits had increased by 10% this quarter.,The incident was reported to the authorities immediately.,"The decision to replace outdated machinery with state-of-the-art equipment was driven by the need to enhance production capabilities, reduce maintenance costs, and improve overall product quality."
reportedly,Business\Media,selon les rapports,allegedly,confirmed,Reportedly means according to what is said or reported by others.,A,The CEO is reportedly planning to retire at the end of the year.,The company is reportedly planning to expand into new markets.,"After conducting a thorough analysis, the company identified a suitable replacement for the retiring CFO, ensuring a seamless transition and continuity in financial leadership."
reporter,Business\Media,journaliste,journalist,interviewee,A reporter is a person who investigates and reports or comments on news stories.,D,The reporter covered the story of the company’s expansion into new markets.,The reporter covered the breaking news story.,"The comprehensive annual report, which includes detailed financial statements, market analysis, and strategic insights, provides stakeholders with a clear understanding of the company's performance and future outlook."
reporting,Business\Media,rapport,coverage,suppression,Reporting means the act of providing news or information about something.,C,Accurate reporting is essential for maintaining transparency in financial matters.,The reporting system needs to be updated for accuracy.,"It was widely reported in the financial press that the company’s quarterly earnings not only exceeded analysts' expectations but also surpassed the projected growth rates, leading to a significant surge in its stock price and reinforcing investor confidence."
Represent,Professional Skills\Story Telling,Représenter,Portray,Misrepresent,To represent means to depict (someone or something) in a specified way or as of a specified nature.,B1,The lawyer will represent the company in the legal proceedings.,She will represent the company at the international conference.,The company is reportedly in talks with several tech firms to explore potential partnerships and joint ventures.
Representative,Business\Sales,Représentant,Agent,Opponent,A representative is a person chosen or appointed to act or speak for another or others.,B1,The sales representative will visit the client next week.,The sales representative will contact you for more details.,"The seasoned business reporter conducted a thorough interview with the CEO, probing with incisive questions about the company’s long-term strategy, market positioning, and future prospects, thereby shedding light on the executive’s vision."
reputation,Professional Skills\Customer Relationship Building,réputation,standing,disrepute,Reputation refers to the beliefs or opinions that are generally held about someone or something.,B1,The company has built a strong reputation for quality and reliability.,The company's reputation for quality products is well established.,"Accurate and timely financial reporting, which encompasses meticulous documentation and transparent disclosure of all fiscal activities, is essential for maintaining credibility with shareholders and ensuring compliance with stringent regulatory requirements."
Request,Professional Skills\Administrative Skills,Demander,Ask,Deny,A request is an act of asking politely or formally for something.,B1,The client made a request for additional information before signing the contract.,Please submit your request for time off as soon as possible.,"The newly appointed brand ambassador was chosen to represent the company's values and mission, bringing a fresh and dynamic presence to its marketing campaigns."
Require,Business\Legal,Exiger,Need,Optional,To require means to need or demand something.,B1,The project will require additional resources to be completed on time.,This job will require you to work on weekends.,The sales representative's deep understanding of customer needs and exceptional negotiation skills played a crucial role in securing several high-value contracts for the company.
Require,Business\HR,Exiger,Demand,Offer,To require means to need for a particular purpose.,B1,"The job posting does not require a cover letter, but it is encouraged.",The project requirements are outlined in the proposal.,Maintaining a strong reputation for quality and reliability is crucial for the company's long-term success and customer loyalty.
require ,Business\HR,exiger,resign,allow,To require means to need (something) as a necessity.,B1,The new regulations require all employees to complete the training.,The position requires a degree in business administration.,"Upon receiving the client’s request for additional customization options, the product development team promptly began exploring innovative solutions to meet the unique requirements."
Requirement,Business\HR,Exigence,Demand,Offer,A requirement is a thing that is needed or wanted.,B1,Meeting the requirement for the certification was challenging but rewarding.,Meeting the safety requirements is crucial for this operation.,"The complex nature of the project required specialized expertise and resources, necessitating strategic partnerships and collaboration with industry leaders"
Reschedule,Professional Skills\Project Management,Reporter,Rearrange,Stick to,To reschedule means to rearrange (something) for a later time or date.,B1,We need to reschedule the meeting due to a conflict in the agenda.,We need to reschedule the meeting to next week.,The implementation of the new software system will require extensive training for all employees to ensure they are fully equipped to leverage its advanced features and capabilities.
Rescue,Practical and everyday life\Emergency,Sauvetage,Save,Abandon,To rescue means to save (someone) from a dangerous or distressing situation.,B1,The IT team worked hard to rescue the system after the unexpected crash.,The team managed to rescue the stranded hikers.,Achieving the project’s objectives will require a significant investment in new technology and training for the team to stay competitive.
Resemble,Professional Skills\Story Telling,Ressembler,Look like,Differ,"To resemble means to have qualities or features, especially those of appearance, in common with (someone or something); look or seem like.",B1,The new office building will resemble the original design with modern updates.,The new building resembles the old one in design.,"Meeting the stringent regulatory requirements necessitated a comprehensive review and overhaul of the company's compliance protocols, ensuring adherence to industry standards and legal mandates."
Reservation,Business\Travel,Réservation,Booking,Free,A reservation is a qualification to an expression of agreement or approval; a doubt.,B1,I made a reservation for dinner at the restaurant for our business meeting.,I made a reservation for dinner at the new restaurant.,"Due to unforeseen circumstances, the project team had to reschedule the product launch, allowing additional time to address critical issues and ensure a successful rollout."
Reserve,Business\Travel,Réserver,Keep,Free,To reserve means to retain for future use.,B1,Please reserve a conference room for the client presentation tomorrow.,You should reserve your spot for the workshop in advance.,"The company's quick action and strategic interventions were pivotal in rescuing the subsidiary from financial distress, stabilizing its operations, and setting it on a path to recovery."
reserve,Business\Travel,réserver,enhance,release,"To reserve means to arrange for (a room, seat, ticket, etc.) to be kept for the use of a particular person.",B1,The hotel will reserve a room for you upon your arrival.,They will reserve a table for us at the restaurant.,"The new office layout was designed to resemble a modern, open-concept workspace, fostering collaboration, creativity, and a sense of community among employees."
Resign,Business\HR,Démissionner / Se retirer,Quit,Stay,To resign means to voluntarily leave a job or position. To step down is to voluntarily relinquish a role or responsibility.,B1,The manager decided to resign from his position to pursue new opportunities.,He decided to resign from his position after five years.,"To ensure seamless participation in the upcoming industry conference, the team made early reservations for travel and accommodation, securing the best rates and optimal convenience."
Resign,Business\HR,Démissionner,Quit,Accept,To resign means to voluntarily leave a job or other position.,B1,She submitted her resignation letter last week.,She handed in her resignation letter yesterday.,"The finance department decided to reserve a portion of the annual budget for unexpected expenses, demonstrating prudent financial planning and risk management."
Resist,Professional Skills\Customer Relationship Building,Résister,Oppose,Submit,To resist means to withstand the action or effect of.,B1,It’s important to resist the urge to cut corners on quality to meet deadlines.,He tried to resist the temptation to buy the expensive gadget.,The finance team advised the company to reserve a portion of its profits for future investments and unforeseen expenses.
Resolve,Business\Legal,Résoudre,Solve,Ignore,To resolve means to find a solution to a problem.,A2,The team worked together to resolve the issue quickly.,We need to resolve this issue before the deadline.,"Despite facing mounting pressure from shareholders, the board of directors refused to accept the CFO's resignation, citing her invaluable contributions to the company"
Resolve,Business\HR,Résoudre,Determine,Waver,"To resolve means to settle or find a solution to (a problem, dispute, or contentious matter).",B1,His resolve to improve the company’s performance was commendable.,She resolved to improve her skills in the coming year.,"After much deliberation, the Chief Marketing Officer decided to resign from her position to pursue new opportunities, prompting the company to launch a rigorous search for a suitable replacement."
Respect,Professional Skills\Customer Relationship Building,Respect,Honor,Disrespect,"Respect is a feeling of deep admiration for someone or something elicited by their abilities, qualities, or achievements.",B1,"It’s essential to respect your colleagues' opinions, even if you disagree.",It is important to show respect to your colleagues.,"Despite facing immense pressure to cut corners and expedite the project, the engineering team chose to resist, prioritizing quality and safety over speed."
Respectable,Professional Skills\Customer Relationship Building,Respectable,Decent,Disreputable,"Respectable means regarded by society to be good, proper, or correct.",B1,The company has a respectable reputation in the industry.,He has a respectable position in the company.,"The crisis management team worked diligently to resolve the supply chain disruption, implementing contingency plans and coordinating with suppliers to minimize operational impact."
Respectful,Professional Skills\Customer Relationship Building,Respectueux,Polite,Disrespectful,Respectful means feeling or showing deference and respect.,B1,Being respectful towards clients is key to building long-lasting relationships.,They were respectful of the speaker’s opinions during the debate.,The executive team was able to swiftly resolve the conflict between departments by implementing a transparent communication strategy and facilitating collaborative problem-solving sessions.
Respond,Professional Skills\Customer Relationship Building,Répondre,Answer,Ignore,To respond means to say something in reply.,B1,The customer service team will respond to your inquiry within 24 hours.,Please respond to the email by the end of the day.,The CEO’s ability to listen and respond thoughtfully to employee concerns has earned her widespread respect and admiration throughout the company.
Responsibility,Business\HR,Responsabilité,Duty,Irresponsibility,Responsibility is the state or fact of having a duty to deal with something or of having control over someone.,B1,It is your responsibility to ensure that the project is completed on time.,It is your responsibility to ensure the project is completed on time.,"The company has maintained a respectable position in the industry due to its unwavering commitment to ethical practices, quality products, and customer satisfaction."
Responsible,Business\HR,Responsable,Accountable,Irresponsible,"Responsible means having an obligation to do something, or having control over or care for someone, as part of one's job or role.",B1,The manager is responsible for overseeing the daily operations of the department.,She is responsible for managing the marketing team.,"The corporate culture emphasizes respectful communication, ensuring that all employees feel valued and heard regardless of their role or seniority."
Restore,Business\HR,Restaurer,Repair,Break,"To restore means to bring back (a previous right, practice, custom, or situation); reinstate.",B1,The IT department worked overnight to restore the company’s network after the outage.,The company plans to restore the historical building to its original condition.,"The customer service department is trained to respond promptly and effectively to all inquiries, providing solutions that enhance the overall customer experience."
Restructure,Business\Finance,Restructurer,Reorganize,Preserve,To restructure means to organize differently.,B1,The company plans to restructure its operations to improve efficiency.,They will restructure the organization to improve efficiency.,"As part of its corporate social responsibility initiatives, the company has launched several programs aimed at supporting local communities and promoting environmental sustainability."
Résumé,Professional Skills\Administrative Skills,Curriculum vitae,Summary,Detail,"A résumé is a brief account of a person's education, qualifications, and previous experience, typically sent with a job application.",B1,Please submit your résumé along with the application form.,Please submit your résumé for consideration for the job.,"The project manager is responsible for overseeing the entire project lifecycle, from initial planning and resource allocation to execution and delivery."
Retail,Business\Retail,Vente au détail,Sale,Wholesale,Retail is the sale of goods to the public in relatively small quantities for use or consumption rather than for resale.,B1,The retail sector has seen significant growth in online sales over the past year.,Retail sales have increased significantly this quarter.,"The IT team worked tirelessly to restore system functionality following the unexpected outage, ensuring minimal disruption to business operations."
Retailers,Industries\Retail,Détaillants,Merchants,Wholesalers,Retailers are businesses that sell products directly to consumers.,B1,Many retailers are offering discounts to attract customers during the holiday season.,The new product will be available at major retailers nationwide.,"In response to shifting market dynamics, the company decided to restructure its operations, realigning resources and optimizing processes to better meet customer demands."
Retire,Business\HR,Prendre sa retraite,Quit,Hire,"To retire means to withdraw from active working life, typically upon reaching a certain age.",B1,"After 30 years with the company, she plans to retire next month.",He plans to retire at the age of 65.,A well-crafted résumé highlighting relevant skills and accomplishments is crucial for job seekers looking to make a strong impression on potential employers.
Retirement,Business\HR,Retraite,Pensions,Employment,Retirement is the action or fact of leaving one's job and ceasing to work.,B1,He is looking forward to his retirement and spending more time with his family.,Her retirement party was a grand celebration with all her colleagues.,"The company’s expansion into the retail market has been marked by the opening of flagship stores in major cities, offering consumers a unique and engaging shopping experience."
Return,Business\Finance; Professional Skills\Customer Relationship Building,Retourner,Come back,Depart,To return means to come or go back to a place or situation.,B1,The company expects a high return on investment from the new product line.,Please return the completed form by the end of the week.,"Retailers play a crucial role in the distribution channel, serving as intermediaries between manufacturers and end consumers in the marketplace."
Review,Professional Skills\Performance Evaluation,Révision,Examination,Ignore,A review is a formal assessment or examination of something with the possibility or intention of instituting change if necessary.,B1,Please review the report and provide feedback by the end of the week.,We need to review the project plan before proceeding.,"After decades of dedicated service, the CFO announced his decision to retire, leaving behind a legacy of financial prudence and strategic growth."
Reviews,Professional Skills\Story Telling; Business\Marketing,Avis,Critiques,Praises,"Reviews are evaluations or assessments of something, such as a product or service.",B1,The product received excellent reviews from customers.,The product has received excellent reviews from customers.,"The company offers a comprehensive retirement plan that includes a 401(k) with employer matching, ensuring that employees are well-prepared for their future."
Revise,Professional Skills\Performance Evaluation,Réviser,Amend,Ignore,To revise means to reconsider and alter (something) in light of further evidence.,B1,The author needs to revise the draft before submitting it for publication.,You should revise the draft before submitting it.,"The hedge fund's strategic allocation of assets in emerging markets yielded an impressive return, outperforming benchmark indices and delivering substantial value to its investors."
Revised,Professional Skills\Performance Evaluation,Révisé,Amended,Ignored,Revised means amended or improved.,B1,The revised version of the contract was sent to the client for approval.,The revised version of the report includes additional data.,"The annual performance review process is designed to provide constructive feedback, set goals, and identify opportunities for professional development."
Right away,Professional Skills\Project Management,Immédiatement,Immediately,Later,Right away means without delay; immediately.,B1,The manager asked the team to start working on the project right away.,I will address the issue right away to avoid any further problems.,"The product received mixed reviews from industry experts, prompting the marketing team to reassess its messaging strategy and address critical feedback to enhance consumer perception and market penetration."
Rip off,Industries\Retail,Arnaquer / Escroquer,Swindle,Fair deal,To rip off means to overcharge or deceive someone in a transaction.,B1,The customer felt the price was a rip off considering the poor quality of the product.,The concert tickets were a rip off considering the poor performance.,"Based on market feedback and internal assessments, the product team decided to revise the design specifications to better meet customer expectations and improve functionality."
Rival,Business\Competition,Rival,Competitor,Ally,A rival is a person or thing competing with another for the same objective or for superiority in the same field of activity.,B1,The company’s main rival launched a similar product last month.,The new company is a serious rival in the tech industry.,"The revised project timeline, which incorporates additional buffer periods for testing and quality assurance, aims to mitigate risks and ensure timely delivery."
Roadside,Practical and everyday life\Transportation,Bord de la route,Wayside,Center,Roadside means the strip of land beside a road.,B1,They set up a roadside stand to sell their products to travelers.,They stopped at a roadside café for a quick break.,"Recognizing the urgency of the client’s request, the support team prioritized the issue and began addressing it right away to ensure a prompt resolution."
Roughly,Professional Skills\Story Telling,Grossièrement,Approximately,Precisely,Roughly means approximately; not exactly.,B1,The project will take roughly six months to complete.,"The estimate is roughly $500, but it could vary.","Consumers were outraged by the perceived rip-off of the popular designer handbag, prompting investigations into counterfeit production and distribution networks."
Round up,Business\Finance; Practical and everyday life\Numbers and Dates,Arrondir,Approximate,Exact,To round up means to increase a number to the nearest whole number or a larger unit.,B1,Let’s round up the team for a quick meeting before we proceed.,We need to round up the team for the meeting.,The company’s innovative product features and competitive pricing have positioned it as a formidable rival in the highly contested tech market.
Route,Practical and everyday life\Transportation,Itinéraire,Path,Wandering,A route is a way or course taken in getting from a starting point to a destination.,B1,The delivery truck will take the most efficient route to ensure timely delivery.,The delivery route was planned to avoid traffic.,"The new roadside assistance program provides customers with peace of mind, offering 24/7 support for vehicle breakdowns and emergencies."
Rule out,Business\Legal,Écarter / Exclure,Exclude,Consider,To rule out means to eliminate or exclude as a possibility.,B2,We can’t rule out the possibility of delays due to unforeseen circumstances.,We should rule out any options that don’t meet our criteria.,"The project is expected to take roughly six months to complete, contingent upon resource availability and potential unforeseen challenges."
Runway,Business\Transportation,Piste,Track,Wander,A runway is a leveled strip of smooth ground along which aircraft take off and land.,B1,The plane had to circle before landing as the runway was occupied.,The plane is ready for takeoff on the runway.,"The investment bank managed to round up a consortium of high-net-worth individuals and institutional investors to participate in the private equity deal, ensuring sufficient capital to execute the leveraged buyout."
Salary,Business\Finance,Salaire,Pay,Voluntary,"Salary is a fixed regular payment, typically paid on a monthly or biweekly basis but often expressed as an annual sum, made by an employer to an employee, especially a professional or white-collar worker.",B1,The new position comes with a competitive salary and benefits package.,The salary offered for the position is competitive.,"The logistics team meticulously planned the most efficient route for the shipment, optimizing for both cost and delivery time."
Sale,Business\Sales,Vente,Sale,Purchase,A sale is the exchange of a commodity for money; the action of selling something.,B1,The company is having a clearance sale to reduce inventory.,The store is having a sale on all winter clothing.,The board of directors decided to rule out the possibility of a merger after thorough deliberation and analysis of the potential risks and benefits
Salvage,Business\Supply Chain,Sauvetage,Rescue,Ruin,Salvage is the rescue of property or material from potential loss or destruction.,B1,The team managed to salvage the project despite the initial setbacks.,They managed to salvage some of the documents from the fire.,"The fashion brand’s latest collection debuted on the runway at New York Fashion Week, garnering widespread acclaim and media attention."
Sample,Business\Marketing/Fashion,Échantillon,Example,Entirety,A sample is a small portion or example used for testing or evaluation.,A2,Please provide a sample of your previous work when applying for the job.,Please take a sample of the product before making a decision.,"The company’s competitive salary packages are designed to attract and retain top talent, reflecting the value placed on employee contributions."
Sample,Business\Marketing,Échantillon,Example,Totality,A sample is a small part or quantity intended to show what the whole is like.,B1,The store offers free samples to customers to encourage them to try new products.,We need to collect a sample for the quality check.,"The end-of-season sale, featuring substantial discounts on a wide range of products, attracted a large number of shoppers and boosted revenue."
Satisfactory,Professional Skills\Customer Relationship Building,Satisfaisant,Adequate,Unsatisfactory,"Satisfactory means fulfilling expectations or needs; acceptable, though not outstanding or perfect.",B1,The client found the results to be satisfactory and approved the final draft.,"The results were satisfactory, meeting all the project goals.","After the natural disaster, the company focused on salvage operations to recover valuable assets and minimize losses."
Satisfied,Professional Skills\Customer Relationship Building,Satisfait,Content,Dissatisfied,Satisfied means contented; pleased.,B1,The customer was satisfied with the prompt service provided by the company.,She was satisfied with the outcome of the negotiation.,"Offering free samples of the new skincare product allowed customers to experience its benefits firsthand, driving interest and boosting sales."
Satisfy,Professional Skills\Customer Relationship Building,Satisfaire,Fulfill,Disappoint,"To satisfy means to meet the expectations, needs, or desires of (someone).",B1,The product must satisfy all safety requirements before it can be sold.,We need to satisfy all the client’s requirements for the contract.,"The marketing team distributed free samples of the new product at various events, allowing potential customers to experience its benefits firsthand."
Save,Business\Finance,Sauver,Preserve,Waste,To save means to keep safe or rescue (someone or something) from harm or danger.,B1,The company implemented cost-saving measures to improve profitability.,Make sure to save your work frequently to avoid losing it.,The quality assurance team ensures that all products meet satisfactory standards before they are released to the market.
Scene,Practical and everyday life\Culture,Scène,Setting,Chaos,A scene is the place where an incident in real life or fiction occurs or occurred.,B1,The team arrived at the scene of the incident to assess the damage.,The crime scene was secured by the police for investigation.,The company’s commitment to customer satisfaction is evident in its high number of positive reviews and repeat business.
Scenery,Practical and everyday life\Culture,Paysage,Landscape,Indoor,"Scenery is the natural features of a landscape considered in terms of their appearance, especially when picturesque.",B1,The office has a beautiful view of the surrounding scenery.,The scenery on the hike was breathtakingly beautiful.,The company’s commitment to customer satisfaction is evident in its proactive approach to addressing feedback and promptly resolving any issues that may arise.
Schedule,Professional Skills\Project Management,Calendrier,Timetable,Free time,"A schedule is a plan for carrying out a process or procedure, giving lists of intended events and times.",B1,The project manager will create a schedule to ensure timely completion of tasks.,The schedule for the conference has been finalized.,Implementing energy-saving initiatives has allowed the company to save significantly on operational costs while reducing its carbon footprint.
screening,Business\IT,dépistage,examination,ignoring,Screening is the process of examining or testing people to identify those with a particular disease or condition.,B,The company conducted a thorough screening of applicants for the job.,The screening process involves several stages of evaluation.,The picturesque scene from the office window provides employees with a tranquil environment conducive to creativity and productivity.
Scrutinize,Professional Skills\Analytical Skills,Examiner,Inspect,Ignore,To scrutinize means to examine or inspect closely and thoroughly.,B1,The auditor will scrutinize the financial statements to ensure accuracy.,The auditors will scrutinize the financial statements for accuracy.,The resort’s breathtaking scenery and luxurious accommodations make it an ideal venue for corporate retreats and executive meetings.
Search engine,Business\IT,Moteur de recherche,Browser,Brain,"A search engine is a program that searches for and identifies items in a database that correspond to keywords or characters specified by the user, used especially for finding particular sites on the World Wide Web.",B1,The company optimized its website for better visibility on search engines.,Use a search engine to find information quickly online.,"The project manager meticulously planned the project schedule, allocating resources and setting milestones to ensure timely completion."
Secluded,Practical and everyday life\Travel,Reculé,Remote,Busy,Secluded means not seen or visited by many people; sheltered and private.,B1,The resort offers a secluded getaway for those seeking privacy and relaxation.,They stayed in a secluded cabin in the mountains for their vacation.,The HR department implemented a more rigorous screening process to ensure that only the most qualified candidates were shortlisted for the key positions.
Secretarial,Professional Skills\Administrative Skills,Secrétariat,Clerical,Public,Secretarial means relating to or of the nature of secretaries or a secretary's work.,B1, The secretarial staff is responsible for organizing meetings and managing communications.,She has a secretarial role in the administrative department.,Investors carefully scrutinize the company’s financial reports and performance metrics before making informed decisions about potential investments.
Secretary,Professional Skills\Administrative Skills,Secrétaire,Clerk,Manager,"A secretary is a person employed by an individual or in an office to assist with correspondence, keep records, make appointments, and carry out similar tasks.",B1,The secretary arranged the schedule for the CEO’s upcoming meetings., The secretary organized all the meeting details for the team.,Optimizing content for popular search engines has helped the company improve its online visibility and attract more organic traffic to its website.
